title,author,time,speak,push
[好雷] 我的兒子看捍衛戰士,LeoWu (發文請附扣繳憑單),Sun May 29 00:53:30 2022,6,23
,qpr322 (龍魚),Sun May 29 00:53:27 2022,36,5
[討論] 美國海軍是不是拍TOP GUN拍到PTSD？,Ujdhw3425 (ccc),Sun May 29 00:27:24 2022,15,67
[奢華雷] 《瘋狂亞洲富豪》,BSWho (唔嘩啦啦嗚啊),Sun May 29 00:25:46 2022,21,0
[新聞] 湯唯詮釋中國偷渡女 小粉紅不爽怒抵制,godofsex (性愛戰神),Sun May 29 00:22:57 2022,8,42
[討論] 超吉任務的票房成績算成功嗎？,akanishiking (arnold jackson),Sun May 29 00:20:00 2022,5,8
[新聞] 律師指安柏赫德受憲法保護「她會贏」,godofsex (性愛戰神),Sun May 29 00:05:48 2022,20,43
[好雷]老人的TOP GUN 感想,fck1769 (Habemus Papam),Sat May 28 23:48:40 2022,20,32
[新聞] 首度自編自導自演諜報電影《Hunt》　李政,Gotham (萬惡之城),Sat May 28 23:41:27 2022,5,1
[情報] 5/28 當週7部新片預告+Youtube觀看排行,bestbamboo (小錦囊),Sat May 28 23:39:34 2022,,0
[新聞] 4天打臉「富比世」？「捍衛戰士：獨行俠,Gotham (萬惡之城),Sat May 28 23:39:14 2022,14,63
[情報] 尾野真千子 今夏電影作品三連發,,Sat May 28 23:34:36 2022,3,2
[神雷] 捍衛戰士-獨行俠 神...神片！,mokjb4a (udoqhudj3u),Sat May 28 23:31:29 2022,17,6
Re: [討論] 捍衛戰士2 以續集來說算空前絕後了吧?,Atima (),Sat May 28 23:11:14 2022,20,35
[討論] 捍衛戰士獨行俠的空戰問題,Sk8erBoi (滑板男孩),Sat May 28 23:11:01 2022,24,9
[新聞] 華納新CEO：DC現在像是一輛沒有大燈的車,shen0348 (soc),Sat May 28 23:37:09 2022,20,87
[請益] 捍衛戰士1986幾個問題,oohwawawa (awawawhoo),Sat May 28 23:01:39 2022,4,6
Re: [討論] 捍衛戰士2 以續集來說算空前絕後了吧?,eric999 (eric999),Sat May 28 22:40:20 2022,13,0
Re: [新聞]方基墨返「捍衛戰士2」健康問題恐成告別作,beckseaton (What a lovely day),Sat May 28 22:35:41 2022,8,9
[討論] 捍衛戰士2 以續集來說算空前絕後了吧?,qk123 (qk123),Sat May 28 22:23:15 2022,12,85
Re: [新聞] 情慾經典《蘿莉塔》大銀幕重現！傑瑞米,sonans (),Sat May 28 22:01:45 2022,19,3
[討論]TOP GUN獨行俠的宏多是什麼身分職位?(雷),haoboo (薩伊克斯),Sat May 28 21:30:49 2022,25,9
[好雷]《捍衛戰士：獨行俠》大型製作的「職人」精神,elvayanzimei (柏C),Sat May 28 21:08:29 2022,25,10
Re: [  雷] 捍衛戰士2任務的最大問題,Sturmvogel (Schwalbe),Sat May 28 20:35:34 2022,8,11
[好雷] 侏羅紀公園,,Sat May 28 20:31:37 2022,18,6
[請益] 請問容易暈車、3D暈能看捍衛戰士2嗎？,kent24245 (Dunamis),Sat May 28 20:49:37 2022,17,42
[雷] 《appleseed》有幾集呀…？,BSWho (唔嘩啦啦嗚啊),Sat May 28 20:24:27 2022,22,2
[新聞] 情慾經典《蘿莉塔》大銀幕重現！傑瑞米,akanishiking (arnold jackson),Sat May 28 19:50:11 2022,16,11
Re: [巨好雷] 一定要看4DX的捍衛戰士！,NerVGear (Phantom),Sat May 28 20:22:21 2022,24,5
Re: [  雷] 捍衛戰士2任務的最大問題,flyover01 (想得不可得 情愛裡無智者),Sat May 28 19:04:39 2022,22,7
[問片] 關於爭取保險,davidfu (davidfu),Sat May 28 18:46:22 2022,7,1
[討論] 捍衛戰士2 海報交換,jefflien8 (BlackNeko),Sat May 28 18:37:24 2022,12,13
[LIVE] HBO 21:00 噤界II,ckny (辛苦的歲月),Sat May 28 18:11:26 2022,4,68
[討論] 捍衛戰士/失控多重宇宙 擇一,waitl (waitl),Sat May 28 17:49:30 2022,9,56
[討論] 捍衛戰士的幾個劇情討論（雷）,nfs258147 (258),Sat May 28 17:42:08 2022,17,20
[情報] David Ayer:自殺突擊隊導剪版不需要重拍,kenny1300175 (蘇湖),Sat May 28 19:11:05 2022,18,37
,lgng66133 (鋼鐵餅粉),Sat May 28 19:22:18 2022,1,148
[新聞] 捍衛戰士2 原聲帶接棒經典 阿湯哥讚卡卡,toebb (玫瑰色鍊金術送「官方PVC),Sat May 28 17:39:46 2022,4,1
[討論] 又看了一次水行俠 小雷,a12141623 (舔舔老二再泡泡茶),Sat May 28 16:55:34 2022,25,3
Re: [巨好雷] 一定要看4DX的捍衛戰士！,controlgod (controlgod),Sat May 28 15:25:18 2022,7,0
[討論] 美麗華IMAX布幕有問題有狂破音,Kamikiri (☒☒),Sat May 28 16:49:50 2022,13,17
Re: [  雷] 捍衛戰士2任務的最大問題,Sturmvogel (Schwalbe),Sat May 28 16:48:51 2022,19,7
Re: [  雷] 捍衛戰士2任務的最大問題,b00668880 (請給我黃金),Sat May 28 14:25:07 2022,29,32
[討論] 有人覺得金士曼起源是軟揭露嗎？,terry75714 (哇哈哈~~),Sat May 28 14:01:10 2022,10,6
[情報] 《一屍到底：法屍浪漫》電影預告,godofsex (性愛戰神),Sat May 28 14:12:49 2022,22,8
Re: [ 好雷] 捍衛戰士2小遺憾,SGshinji (),Sat May 28 13:21:03 2022,5,31
[新聞]方基墨返「捍衛戰士2」健康問題恐成告別作,toebb (玫瑰色鍊金術送「官方PVC),Sat May 28 13:06:33 2022,10,59
[新聞] 安柏哭訴與女兒遭死亡威脅 強尼律師火力,godofsex (性愛戰神),Sat May 28 12:41:41 2022,23,43
[討論] 查導《神力女超人》戰鬥測試片段曝光,shen0348 (soc),Sat May 28 12:59:34 2022,3,119
